Code;Product label;Exported value in 2018-Q3;Exported value in 2018-Q4;Exported value in 2019-Q1;Exported value in 2019-Q2;Exported value in 2019-Q3;Exported value in 2019-Q4;Exported value in 2020-Q1;Exported value in 2020-Q2;Exported value in 2020-Q3;Exported value in 2020-Q4;Exported value in 2021-Q1;Exported value in 2021-Q2;Exported value in 2021-Q3;Exported value in 2021-Q4;Exported value in 2022-Q1;Exported value in 2022-Q2;Exported value in 2022-Q3;Exported value in 2022-Q4;Exported value in 2023-Q1;Exported value in 2023-Q2;
240399;"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...";0;0;0;0;0;0;0;0;1;66;68;333;410;1875;82;351;395;454;1374;2051;
330190;"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...";1367;1270;1175;1954;1036;1511;506;2412;1186;2514;1351;2733;1890;1652;1384;1760;1334;2036;1272;2024;
190230;"Pasta, cooked or otherwise prepared (excl. stuffed)";787;1243;1439;1401;1111;1087;1620;2325;1205;1820;2152;1286;1885;1889;2934;3645;3852;3225;2590;2017;
070410;"Fresh or chilled cauliflowers and broccoli";6;24;136;95;74;778;661;500;111;1227;2907;1518;279;1394;2240;1708;10;663;3741;1947;
081010;"Fresh strawberries";0;18054;48233;476;2;19798;36105;299;30;26929;55707;1447;37;20340;52373;4234;204;14666;50387;1945;
070490;"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, ...";618;1034;400;607;775;1123;697;715;1279;965;133;410;1186;1593;526;971;1518;1650;1012;1894;
240319;"Smoking tobacco, whether or not containing tobacco substitutes in any proportion (excl. water-pipe ...";0;0;0;1;1;2;259;0;149;184;112;10;238;477;146;1162;1156;1842;1026;1797;
220429;"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...";962;285;1992;1383;1227;236;1868;250;988;673;1734;347;77;25;1626;257;226;279;1678;1692;
190531;"Sweet biscuits";913;950;930;1184;885;1670;981;675;1186;1671;1225;1112;1070;1667;1622;2035;1951;2141;1838;1613;
230990;"Preparations of a kind used in animal feeding (excl. dog or cat food put up for retail sale)";851;515;367;361;444;371;401;676;7739;2931;909;800;838;796;934;1159;1092;1892;1480;1597;
071080;"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excl. potatoes, ...";174;171;21;206;123;156;33;165;383;132;66;602;402;413;177;87;99;13;106;1490;
071029;"Leguminous vegetables, shelled or unshelled, uncooked or cooked by steaming or by boiling in ...";0;10;0;0;0;203;334;0;0;112;0;0;0;0;0;0;44;128;81;1468;
170410;"Chewing gum, whether or not sugar-coated";341;752;665;582;391;363;314;269;627;626;710;617;597;488;530;666;626;928;1176;1341;
091099;"Spices (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...";1589;1617;1751;1677;1745;1987;1646;1420;1921;2229;2550;1290;2521;2629;3442;1989;2011;1810;1653;1329;
210210;"Active yeasts";1723;2040;2137;1839;2294;1774;2217;2169;2203;2191;2564;1854;1717;1354;1791;2045;1689;1371;1339;1287;
200819;"Nuts and other seeds, incl. mixtures, prepared or preserved (excl. prepared or preserved with ...";933;1831;1569;935;1234;1529;1177;1475;1584;1413;1727;1055;522;1422;1171;540;897;740;1134;1192;
040150;"Milk and cream of a fat content by weight of > 10%, not concentrated nor containing added sugar ...";0;53;67;88;72;103;217;91;205;217;359;448;466;854;798;940;850;864;1227;1177;
160414;"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excl. minced)";675;413;566;473;331;366;449;445;566;810;927;686;409;870;710;783;289;915;788;1175;
070390;"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)";1347;2028;1748;1314;1694;2435;1853;1187;1090;1678;2529;1493;995;2492;2624;1209;934;1727;1825;1162;
200912;"Orange juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar ...";1994;565;995;2713;3024;770;638;2132;553;82;190;2215;1031;759;358;1983;1583;813;468;1130;
200919;"Orange juice, unfermented, whether or not containing added sugar or other sweetening matter ...";358;661;553;418;198;509;304;229;125;280;534;1023;196;239;381;605;826;966;781;1055;
151800;"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...";810;467;762;567;868;1016;1194;250;1134;1058;1222;1378;2392;2190;3193;3004;3752;2275;2112;1052;
220421;"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...";1416;2027;1663;1654;1720;1999;774;400;584;508;234;549;483;517;522;848;702;806;928;1047;
070930;"Fresh or chilled aubergines "eggplants"";295;468;233;114;166;456;310;419;383;405;704;355;468;757;629;456;323;891;594;1042;
150930;"Virgin olive oil "EU cat. 2" obtained from the fruit of the olive tree solely by mechanical ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3553;2504;1681;1049;1450;991;
180690;"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...";366;385;602;678;301;573;455;461;386;803;611;216;560;573;430;518;1137;1316;1653;954;
200897;"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...";391;802;631;519;637;590;525;319;336;471;352;783;902;576;626;707;671;454;598;807;
220830;"Whiskies";15;11;3;7;9;13;263;0;84;192;107;15;294;441;129;619;679;896;461;778;
240311;"Water-pipe tobacco (excl. tobacco-free. See subheading note 1.)";0;0;0;0;0;0;0;0;0;0;0;0;0;61;249;337;750;596;668;776;
051199;"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excl. fish, crustaceans, ...";219;218;541;386;532;429;569;588;570;639;560;52;421;396;221;482;472;409;561;757;
090121;"Roasted coffee (excl. decaffeinated)";200;429;537;425;347;628;643;910;1028;388;749;863;968;687;618;956;376;250;555;736;
060319;"Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes (excl. ...";130;38;116;188;113;59;73;914;0;0;0;592;0;0;0;316;0;0;0;724;
110311;"Groats and meal of wheat";0;142;184;119;33;166;267;389;171;670;1144;635;140;1649;1685;479;268;627;1121;710;
150990;"Olive oil "EU cat. 4 and 5" and fractions obtained from the fruit of the olive tree solely ...";2075;4370;2906;714;3420;869;208;12;157;607;1995;1086;202;145;2058;3902;24;402;826;687;
220110;"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured";32;32;34;27;91;127;82;5;10;51;38;12;229;246;132;389;571;499;593;643;
170310;"Cane molasses resulting from the extraction or refining of sugar";1350;369;282;406;1514;669;0;2259;370;1433;313;1500;1529;0;0;0;0;760;801;632;
200490;"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ...";78;40;36;53;103;70;13;75;52;121;1681;1805;1458;342;50;10;82;175;196;622;
210112;"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...";0;0;0;0;0;0;0;0;0;37;40;7;252;311;160;331;588;674;755;605;
070920;"Fresh or chilled asparagus";0;11;16;0;0;29;81;0;0;9;610;8;0;0;528;239;0;2;501;594;
070690;"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excl. ...";584;2141;1954;515;587;2397;1985;688;723;1854;2215;599;538;2167;2476;768;436;1296;2054;581;
080410;"Fresh or dried dates";46;4;720;654;128;331;1269;3597;873;483;1276;1544;116;67;809;289;50;557;1767;555;
220210;"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...";615;550;921;1250;624;511;570;957;731;590;840;657;528;399;520;835;762;906;841;550;
190410;"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes";0;78;75;54;89;100;56;12;119;86;103;161;206;140;129;219;106;289;370;501;
330119;"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excl. ...";3653;50;18;2625;2317;9;134;1187;1806;202;88;436;1286;162;303;898;768;444;72;495;
060120;"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory ...";416;380;884;189;472;675;729;109;0;9;593;454;1;0;609;500;1;0;648;471;
220300;"Beer made from malt";614;950;841;1363;1174;934;1113;1360;946;1465;1647;766;1184;1151;772;28;725;696;852;467;
080550;"Fresh or dried lemons "Citrus limon, Citrus limonum" and limes "Citrus aurantifolia, Citrus ...";177;1579;5834;666;557;1705;6153;2071;921;1280;4209;74;794;1212;2215;465;809;1289;1700;466;
070529;"Fresh or chilled chicory (excl. witloof chicory)";0;136;1129;432;0;218;1357;360;0;264;1038;334;0;328;920;482;0;0;248;454;
200899;"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...";643;449;499;510;614;450;349;161;264;271;251;272;244;336;341;398;380;342;481;437;
040320;"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruit, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;362;481;443;355;373;426;
240290;"Cigars, cheroots, cigarillos and cigarettes consisting wholly of tobacco substitutes";183;239;270;290;230;236;88;0;0;44;0;0;1;63;49;129;144;191;242;424;
081290;"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...";33;19;45;70;33;66;68;32;30;70;86;55;39;40;42;79;539;12;39;397;
050800;"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...";296;190;66;34;133;139;20;2;12;11;181;39;27;123;88;49;186;313;303;383;
200939;"Single citrus fruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing ...";21;9;11;146;379;185;63;149;8;10;48;43;4;14;340;324;108;351;201;373;
060210;"Unrooted cuttings and slips";149;220;443;610;214;201;274;486;157;92;267;1008;145;122;185;405;215;339;384;372;
151790;"Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...";3561;1091;2736;0;0;1;0;1;534;73;6636;6276;2254;2175;0;2002;50;0;0;342;
200830;"Citrus fruit, prepared or preserved, whether or not containing added sugar or other sweetening ...";157;123;355;338;257;238;335;189;218;340;317;207;182;196;312;266;235;291;373;340;
210410;"Soups and broths and preparations therefor";170;701;875;1055;410;647;1256;1538;1227;890;2573;1354;544;917;1670;763;160;858;1117;280;
200799;"Jams, jellies, marmalades, purées or pastes of fruit, obtained by cooking, whether or not containing ...";76;229;132;88;77;105;91;143;114;172;111;119;82;148;210;150;199;542;164;275;
020727;"Frozen cuts and edible offal of turkeys of the species domesticus";115;222;67;166;113;163;117;185;208;82;83;421;240;233;116;288;192;86;182;258;
070810;"Fresh or chilled peas "Pisum sativum", shelled or unshelled";1;139;1383;161;1;563;1291;146;15;208;799;288;1;234;653;270;0;118;541;246;
110812;"Maize starch";132;86;64;57;152;109;155;179;177;143;273;210;253;84;87;157;260;312;130;215;
090922;"Coriander seeds, crushed or ground";54;1;21;62;114;58;171;141;216;35;115;73;247;109;109;346;190;65;102;207;
220890;"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous ...";475;287;221;524;637;373;184;1;11;18;1;3;152;198;151;167;185;186;186;195;
210330;"Mustard flour and meal, whether or not prepared, and mustard";46;79;55;68;57;63;49;56;26;36;73;74;50;48;3;26;33;34;171;194;
040711;"Fertilised eggs for incubation, of domestic fowls";0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;23;11;72;0;186;
210390;"Preparations for sauces and prepared sauces; mixed condiments and seasonings (excl. soya sauce, ...";8;20;105;137;141;34;82;100;193;188;132;135;139;52;151;111;52;95;70;186;
200990;"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ...";31;57;57;56;52;39;43;34;42;17;122;81;59;73;167;288;212;120;114;180;
190532;"Waffles and wafers";285;232;266;599;774;807;433;246;618;271;1071;733;692;468;478;552;372;311;244;177;
070940;"Fresh or chilled celery (excl. celeriac)";0;0;4;14;0;75;15;2;0;13;15;9;1;0;8;6;0;0;46;172;
200290;"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. whole or in ...";328;282;531;477;157;296;644;411;615;818;669;375;82;515;529;498;302;1163;1581;168;
200931;"Single citrus fruit juice, unfermented, Brix value <= 20 at 20°C, whether or not containing ...";62;3;441;62;7;0;137;0;92;0;228;12;62;17;165;71;50;45;204;165;
240411;"Products containing tobacco or reconstituted tobacco, intended for inhalation without combustion";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;
080540;"Fresh or dried grapefruit and pomelos";16;792;1995;932;66;634;958;205;2;307;897;546;1;302;814;237;1;155;1025;159;
200520;"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";20;15;79;141;156;96;44;140;261;329;288;313;395;425;236;160;152;146;151;154;
081400;"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...";133;32;419;223;119;76;173;86;116;92;233;153;84;149;387;153;152;56;101;150;
200911;"Frozen orange juice, unfermented, whether or not containing added sugar or other sweetening ...";97;152;728;828;197;127;66;123;0;47;159;575;70;82;203;498;458;847;243;141;
240120;"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured";0;0;0;937;0;672;0;0;0;0;0;197;92;0;0;0;0;0;0;141;
200880;"Strawberries, prepared or preserved, whether or not containing added sugar or other sweetening ...";476;546;499;206;323;200;66;336;197;63;182;226;169;262;255;216;207;223;160;140;
