Code	Product label	Exported value in 2013-Q4	Exported value in 2014-Q1	Exported value in 2014-Q2	Exported value in 2014-Q3	Exported value in 2014-Q4	Exported value in 2015-Q1	Exported value in 2015-Q2	Exported value in 2015-Q3	Exported value in 2015-Q4	Exported value in 2016-Q1	Exported value in 2016-Q2	Exported value in 2016-Q3	Exported value in 2016-Q4	Exported value in 2017-Q1	Exported value in 2017-Q2	Exported value in 2017-Q3	Exported value in 2017-Q4	Exported value in 2018-Q1	Exported value in 2018-Q2	Exported value in 2018-Q3	
330290	"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ..."	1	22	37	23	78	91	88	1	32	15	18	5	91	10	64	37	60	36	23	31	
040690	"Cheese (excl. fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese and ..."	0	70	39	1	9	229	158	23	14	5	47	0	45	59	277	26	28	50	43	30	
190190	"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ..."	39	84	38	14	19	25	12	44	37	33	38	58	37	37	48	37	59	204	29	30	
040510	"Butter (excl. dehydrated butter and ghee)"	1	0	0	0	260	23	17	15	0	0	333	92	0	477	0	0	30	6	6	28	
170191	"Refined cane or beet sugar, containing added flavouring or colouring, in solid form"	3	6	25	0	5	3	10	7	22	19	42	2	56	26	56	26	30	13	67	28	
200969	"Grape juice, incl. grape must, unfermented, Brix value > 30 at 20°C, whether or not containing ..."	41	41	56	27	44	65	40	20	29	77	162	42	60	26	88	75	86	52	28	28	
200110	"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid"	8	21	16	24	76	31	48	10	16	7	16	9	11	2	6	0	98	16	42	27	
030572	"Fish heads, tails and maws, smoked, dried, salted or in brine"	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	4	10	5	5	26	
220410	"Sparkling wine of fresh grapes"	0	0	0	1	0	0	0	0	0	0	14	9	11	80	69	20	12	11	12	22	
030619	"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ..."	0	0	84	0	0	0	0	0	0	0	0	0	0	32	44	0	56	0	0	21	
200939	"Single citrus fruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing ..."	2	3	8	2	2	0	2	0	0	0	32	3	1	27	13	10	16	12	30	21	
030541	"Smoked Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus ..."	0	0	6	46	48	9	46	12	1	52	2	27	51	3	5	20	24	12	15	20	
071239	"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ..."	0	0	0	0	0	1968	88	161	0	0	0	0	0	0	0	28	0	0	0	20	
200520	"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)"	0	0	21	3	22	21	51	7	15	11	4	22	7	22	66	63	14	13	13	20	
200950	"Tomato juice, unfermented, whether or not containing added sugar or other sweetening matter ..."	0	0	20	0	16	27	35	3	51	0	22	15	11	17	19	19	20	18	23	20	
220510	"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	
160220	"Preparations of liver of any animal (excl. sausages and similar products and finely homogenised ..."	129	147	92	65	78	71	49	12	73	43	1	51	37	33	21	23	62	3	5	17	
200310	"Mushrooms of the genus "Agaricus", prepared or preserved otherwise than by vinegar or acetic ..."	2	18	0	0	2	1	1	1	0	6	5	2	1	2	33	42	5	0	0	16	
220830	"Whiskies"	1	3	12	0	10	0	3	16	1	52	56	2	0	32	7	6	8	11	62	15	
160510	"Crab, prepared or preserved (excl. smoked)"	50	76	55	0	66	26	29	21	49	37	56	14	39	34	113	42	68	73	73	11	
030632	"Lobsters "Homarus spp.", whether in shell or not, live, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	11	29	15	31	5	7	10	
210420	"Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, ..."	83	1288	276	238	163	119	79	46	69	32	55	57	50	76	0	36	0	72	57	9	
210390	"Preparations for sauces and prepared sauces; mixed condiments and seasonings (excl. soya sauce, ..."	99	153	216	107	141	31	257	100	93	72	58	110	105	42	115	80	21	41	57	8	
030636	"Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	478	395	0	0	0	0	7	
200870	"Peaches, incl. nectarines, prepared or preserved, whether or not containing added sugar or ..."	96	182	184	81	105	89	138	49	101	33	91	78	0	0	0	17	0	158	0	7	
220190	"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ..."	0	1	0	1	1	1	2	0	0	0	0	0	1	0	7	0	9	0	0	6	
200600	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	5	23	8	6	6	4	15	9	16	38	26	19	31	40	52	16	19	6	4	5	
